Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
1COV,1COV.DE,Covestro AG,Eurostoxx,Basic Materials,Specialty Chemicals,Germany,1.043,9.833733230056765,193160992.0,2021,2021-12-31,6.082379832205095,0.20997920997921,0.1037826729176032,0.2570742912033834,8.37,50.90951919555664,1.616,15.903,7.696,15.571,2.528,1.3,0.225463191,10.161604728667548,32.84823284823285,15.531660692951018,
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,4.217031566157715,176764992.0,2021,2021-12-31,11.360339210146948,0.0708962923635246,0.052383372524148,0.0242552132691753,2.1,23.856712341308597,0.370022,3.909659,5.219201,7.06373,0.102285,0.05,0.035484791,9.46430366433492,1.9597827330275268,2.380952380952381,
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,2.0387345679283144,176300000.0,2022,2022-12-31,5.559619114949153,0.0658312665181678,0.0506164665289162,0.0503591794709835,2.08,11.564007759094238,0.367328,3.963691,5.579841,7.257085,0.102669,0.05,0.016834294,9.26732179677982,1.8399986666286727,2.403846153846154,-0.952380952380949
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,3.2104406606674196,176300000.0,2023,2023-12-31,10.173240320642568,0.0534985631232085,0.0406896058114498,0.0587168616163773,1.79,18.210100173950195,0.31495,4.096701,5.887074,7.740306,0.188507,0.05,0.024756042,7.68789325850239,3.2020490994337765,2.7932960893854752,-13.942307692307699
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,2.087824464416504,176300000.0,2024,2024-12-31,9.787151242090651,0.0349138574689406,0.0261699987195686,0.1977939271419601,1.21,11.842453002929688,0.212764,4.064254,6.09397,8.130073,0.412959,0.05,0.013964157,5.235007457703185,6.7765184272321655,4.132231404958678,-32.402234636871505
A2A,A2A.MI,A2A Spa,Eurostoxx,Utilities,Utilities - Diversified,Italy,0.944,4.286100373572876,3046749952.0,2021,2021-12-31,8.583147399232038,0.1340425531914893,0.0279875610839626,1.1824268118516637,0.1639,1.4067778587341309,0.504,11.389,3.76,18.008,5.068,0.08,2.64590208,4.425322679778734,134.7872340425532,48.810250152532035,
A2A,A2A.MI,A2A Spa,Eurostoxx,Utilities,Utilities - Diversified,Italy,0.944,3.4156343480932616,3132910080.0,2022,2022-12-31,8.51087696751424,0.1028468838163631,0.0187672579210932,2.016902073796542,0.1281,1.0902433395385742,0.401,23.052,3.899,21.367,6.889,0.0904,2.544797798,1.7395453756723929,176.6863298281611,70.56986729117877,-21.84258694325808
A2A,A2A.MI,A2A Spa,Eurostoxx,Utilities,Utilities - Diversified,Italy,0.944,5.272062747412719,3132910080.0,2023,2023-12-31,8.009521805746449,0.1554245283018868,0.0350569209490371,1.2046518230680718,0.2101,1.682800531387329,0.659,14.63,4.24,18.798,6.351,0.0904,2.497975517,4.504442925495557,149.78773584905662,43.027129938124695,64.01249024199846
A2A,A2A.MI,A2A Spa,Eurostoxx,Utilities,Utilities - Diversified,Italy,0.944,6.554163687577515,3132910080.0,2024,2024-12-31,7.585835777930232,0.1586776859504132,0.0434301799537549,1.1095237083844949,0.275782,2.0920369625091557,0.864,12.635,5.445,19.894,7.272,0.0958,2.719593652,6.838148001582904,133.55371900826447,34.73758258334481,31.262256068538807
AAK,AAK.ST,AAK AB,Eurostoxx,Consumer Defensive,Packaged Foods,Sweden,0.514,47.86070808666455,258495008.0,2021,2021-12-31,33.12189310309286,0.1219553594161079,0.0528970036074504,0.0953809540747673,5.59,185.15138244628903,1.437,35.452,11.783,27.166,4.565,2.3,0.0918665,4.05336793410809,38.74225579224307,41.14490161001789,
AAK,AAK.ST,AAK AB,Eurostoxx,Consumer Defensive,Packaged Foods,Sweden,0.514,44.223106612000485,259559008.0,2022,2022-12-31,24.909042893794545,0.1177174780526735,0.0520741394527802,0.1638736071525431,6.84,170.3778533935547,1.77,50.425,15.036,33.99,7.247,2.5,0.067496762,3.5101636093207738,48.1976589518489,36.54970760233918,22.361359570661897
AAK,AAK.ST,AAK AB,Eurostoxx,Consumer Defensive,Packaged Foods,Sweden,0.514,57.09364222994141,261636992.0,2023,2023-12-31,19.22616832581911,0.1721095986446223,0.0964289221302085,0.078555156490751,11.35,218.21701049804688,2.946,46.028,17.117,30.551,4.485,2.75,0.066594758,6.4004518988441825,26.202021382251562,24.229074889867842,65.9356725146199
AAK,AAK.ST,AAK AB,Eurostoxx,Consumer Defensive,Packaged Foods,Sweden,0.514,81.42839288209082,259559008.0,2024,2024-12-31,23.033643994212326,0.1760342510081147,0.1028325481300529,0.0438544821235861,13.62,313.7182312011719,3.536,45.052,20.087,34.386,3.571,3.7,0.082614099,7.8487081594601795,17.777667147906605,27.165932452276063,19.999999999999996
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,5.64780229522705,110580000.0,2021,2021-12-31,15.666980392362444,0.1679805942995755,0.0985144858151177,0.0996670865188935,3.26,51.07435607910156,0.3601,2.9791,2.1437,3.6553,0.5629,0.6,0.047656197,12.087543217750326,26.258338386901155,18.404907975460123,
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,3.712384433670044,110580000.0,2022,2022-12-31,11.697537890710066,0.1368616287094547,0.0753556415797848,0.2351049616747677,2.87,33.57193374633789,0.3173,3.23,2.3184,4.2107,0.8728,1.65,0.057008428,9.823529411764707,37.646652864044164,57.49128919860627,-11.963190184049067
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,4.077880689556122,111341000.0,2023,2023-12-31,12.805996074543131,0.1281031964952133,0.0763115288886741,0.1722953792638985,2.86,36.62514877319336,0.3158,3.324,2.4652,4.1383,0.7026,1.11,0.051072608,9.500601684717209,28.500730163881226,38.81118881118882,-0.34843205574913716
