Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,46.220813676317384,302723008.0,2021,2021-10-31,38.36269282815445,0.2245314529597327,0.1130312937879495,0.0590426646123342,3.98,152.6835174560547,1.21,6.319,5.389,10.705,2.729,0.776,0.4077569,19.14859946194018,50.64019298571163,19.49748743718593,
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,40.07099761995459,296040992.0,2022,2022-10-31,32.30459354373322,0.2363807728557964,0.1190657045195594,0.0691023474449533,4.19,135.3562469482422,1.254,6.848,5.305,10.532,2.769,1.065,0.4272828,18.311915887850468,52.19604147031103,25.417661097852022,5.276381909547756
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,29.79930324626172,292587008.0,2023,2023-10-31,24.13451750696553,0.2121471343028229,0.1152095140760011,0.0917806694135743,4.22,101.84766387939452,1.24,6.833,5.845,10.763,2.735,0.911,0.4612575,18.147226693985072,46.792130025662956,21.587677725118485,0.7159904534606021
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,37.14044974511719,287328000.0,2024,2024-10-31,29.11295160516962,0.2185486605629026,0.1088131014688502,0.0912751467272062,4.44,129.26150512695312,1.289,6.51,5.898,11.846,3.39,0.956,0.4310391,19.80030721966206,57.47711088504578,21.531531531531527,5.213270142180115
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2184.35296760489,16070800384.0,2022,2022-09-30,22.100911954554118,1.969588727502368,0.2829244092925685,0.0606495387717774,6.15,135.9206085205078,99.803,394.328,50.672,352.755,132.48,0.91,22.0655045,25.309640705199733,261.4461635617304,14.796747967479673,
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2687.4875563423593,15634199552.0,2023,2023-09-30,27.905518668038503,1.5607601454639075,0.2750983456377647,0.0413352611578933,6.16,171.8979949951172,96.995,383.285,62.146,352.583,111.088,0.95,14.8058869,25.30623426432028,178.75325845589418,15.42207792207792,0.1626016260162677
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,3533.549720214516,15250799616.0,2024,2024-09-30,37.92079045222356,1.6459350307287095,0.2568250315085758,0.0301761708318417,6.11,231.69602966308597,93.736,391.035,56.95,364.98,106.629,0.99,14.3514278,23.971255769943866,187.23266022827042,16.20294599018003,-0.8116883116883078
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,206.4212798487012,1767879936.0,2021,2021-12-31,17.88899013149998,0.7490913811007269,0.0787693903595875,0.371492706838202,6.527034,116.76204681396484,11.542,56.197,15.408,146.529,76.684,5.2,1.7145849,20.538462907272628,497.68951194184837,79.66865194818965,
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,257.2852360449219,1768480000.0,2022,2022-12-31,21.74613618385282,0.6859858583516866,0.0852707035049169,0.2459177252944001,6.6901,145.48382568359375,11.836,58.054,17.254,138.805,63.271,5.64,1.6230638,20.387914700106798,366.70337313086816,84.30367259084318,2.498316999727601
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,53.75673030375147,633177024.0,2022,2022-12-31,28.585859099622525,0.3404676258992806,0.1180321735877291,0.0435480355068513,2.97,84.9000015258789,1.893,8.399,5.56,16.038,2.341,0.0,1.618238,22.538397428265274,42.1043165467626,0.0,
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,86.19172789334863,640926016.0,2023,2023-12-31,17.882978155257856,0.5868952847519902,0.2321143133930734,0.0267311035097348,7.52,134.47999572753906,4.792,9.917,8.165,20.645,2.304,0.0,1.5454268,48.3210648381567,28.218003674219226,0.0,153.19865319865315
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,82.10128660286328,624771968.0,2024,2024-12-31,31.362769370431828,0.3147883975273419,0.1263419056252683,0.027941096844151,4.19,131.41000366210938,2.648,11.102,8.412,20.959,2.294,0.0,1.1344842,23.851558277787788,27.27056585829767,0.0,-44.281914893617014
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,230.89155356900392,1768290048.0,2021,2021-12-31,32.575604424256724,0.1975029327970504,0.0940342571413373,0.0823157006231494,4.008317,130.57334899902344,7.071,43.075,35.802,75.196,19.006,1.8,1.3464789,16.415554265815434,53.086419753086425,44.90662789395151,
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,180.2331865125967,1743570048.0,2022,2022-12-31,25.910318716312474,0.1889821730360355,0.0931379134313119,0.0982948831055695,3.989538,103.37020111083984,6.933,43.653,36.686,74.438,17.716,1.88,1.3850501,15.882069960827435,48.29090116120591,47.12325086263121,-0.4685008695669457
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,183.4979241756377,1736060032.0,2023,2023-12-31,32.026604156552025,0.1482527264720358,0.0781681099243314,0.0851671759787398,3.300316,105.69791412353516,5.723,40.109,38.603,73.214,15.628,2.04,1.292946,14.268618015906654,40.48390021500919,61.812262825741534,-17.27573468406618
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,192.5365232259785,1734460032.0,2024,2024-12-31,14.343375086738538,0.2811765693185633,0.1646154224089223,0.0780163667044614,7.739225,111.00660705566406,13.402,41.95,47.664,81.414,15.021,2.2,1.4061967,31.947556615017874,31.514350453172206,28.426618944403348,134.49951459193605
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,16.3208966605625,386134016.0,2021,2021-12-31,7.91525108537424,0.1592364211271074,0.0478260488776898,0.1669267355011917,5.34,42.26744079589844,2.157,8.923,13.545896,45.100945,2.724394,0.0,0.5139023,24.173484254174603,20.11232036625706,0.0,
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,21.96791092908325,369872992.0,2022,2022-12-31,15.229005080003006,0.1143299767621998,0.0307564075849135,0.1240445670413011,3.9,59.39311981201172,1.476,9.613,12.91,47.99,2.725,0.0,0.581475,15.3542078435452,21.107668474051124,0.0,-26.96629213483146
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,26.808820314300537,373172000.0,2023,2023-12-31,6.01678269991723,0.2420857625456328,0.0754252537941805,0.1016829524030148,11.94,71.84038543701172,4.443,13.297,18.353,58.906,2.726,0.0,0.4866646,33.41355192900654,14.853157521931019,0.0,206.15384615384613
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,34.74594664830029,376241984.0,2024,2024-12-31,8.05143840227734,0.2071085494716618,0.0608129072292894,0.0785127551024271,11.47,92.3499984741211,4.312,16.93,20.82,70.906,2.728,5.0,0.4259336,25.4695806261075,13.102785782901059,43.59197907585004,-3.9363484087102107
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,175.94576556271875,641428992.0,2022,2022-08-31,25.234847783823025,0.311098291118509,0.1455073154930274,0.0189021656154292,10.87,274.30279541015625,6.877169,61.594305,22.106097,47.26339,3.325756,4.03,0.5866691,11.165267633103419,15.04451916591156,37.07451701931923,
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,197.51238749695509,631302976.0,2023,2023-08-31,28.703179315689507,0.2674502806015326,0.1340914450601865,0.0159434759505833,10.9,312.8646545410156,6.871557,64.111745,25.692839,51.245305,3.149034,4.65,0.5550288,10.718093853162163,12.256465702369443,42.6605504587156,0.2759889604415866
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,210.27784284375,626384000.0,2024,2024-08-31,29.01479445764909,0.2568092866657527,0.1298852151124028,0.0195957355481425,11.57,335.701171875,7.264787,64.896464,28.288646,55.932363,4.120549,5.35,0.6753237,11.194426556121764,14.566087751248327,46.240276577355225,6.14678899082568
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,163.9355674790039,475272000.0,2022,2022-11-30,34.05034478536833,0.3384812468863426,0.1750782256580158,0.0282611032568839,10.13,344.92999267578125,4.756,17.606,14.051,27.165,4.633,0.0,0.893341,27.013518118823125,32.972742153583376,0.0,
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,227.2312453735352,440200000.0,2024,2024-11-30,41.52856091770163,0.3941864587025877,0.1839232550446576,0.0266512643982776,12.43,516.2000122070312,5.56,21.505,14.105,30.23,6.056,0.0,0.827315,25.854452452917926,42.93512938674229,0.0,22.70483711747284
