Country,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate,Moody's rating
Abu Dhabi,0.49,4.99,0.66,15.0,Aa2
Albania,3.56,9.13,4.8,15.0,Ba3
Algeria,2.98,8.35,4.02,15.0,NR
Andorra (Principality of),1.58,6.46,2.13,18.98,Baa1
Angola,6.44,13.01,8.68,25.0,B3
Anguilla,6.01,12.44,8.11,25.23,NR
Antigua & Barbuda,6.01,12.43,8.1,25.23,NR
Argentina,11.88,20.35,16.02,35.0,Ca
Armenia,3.56,9.13,4.8,18.0,Ba3
Aruba,2.18,7.26,2.93,25.0,Baa3
Australia,0.0,4.33,0.0,30.0,Aaa
Austria,0.4,4.86,0.53,24.0,Aa1
Azerbaijan,2.48,7.67,3.34,20.0,Ba1
Bahamas,4.46,10.34,6.01,0.0,B1
Bahrain,5.45,11.67,7.34,0.0,B2
Bangladesh,5.45,11.67,7.34,30.0,B2
Barbados,6.44,13.01,8.68,5.5,B3
Belarus,17.5,27.92,23.59,18.0,C
Belgium,0.59,5.13,0.8,25.0,Aa3
Belize,7.43,14.34,10.01,28.53,Caa1
Benin,4.46,10.34,6.01,30.0,B1
Bermuda,0.84,5.46,1.13,0.0,A2
Bolivia,9.91,17.68,13.35,25.0,Caa3
Bosnia and Herzegovina,6.44,13.01,8.68,10.0,B3
Botswana,1.19,5.93,1.6,22.0,A3
Brazil,2.48,7.67,3.34,34.0,Ba1
British Virgin Islands,6.01,12.44,8.11,25.23,NR
Brunei,0.59,5.13,0.8,34.0,NR
Bulgaria,1.58,6.46,2.13,10.0,Baa1
Burkina Faso,7.43,14.34,10.01,28.0,Caa1
Cambodia,5.45,11.67,7.34,20.0,B2
Cameroon,7.43,14.34,10.01,33.0,Caa1
Canada,0.0,4.33,0.0,26.5,Aaa
Cape Verde,5.45,11.67,7.34,0.0,B2
Cayman Islands,0.59,5.13,0.8,0.0,Aa3
Channel Islands,0.83,5.45,1.12,24.78,NR
Chile,0.84,5.46,1.13,27.0,A2
China,0.7,5.27,0.94,25.0,A1
Colombia,1.89,6.87,2.54,35.0,Baa2
Congo (Democratic Republicof),6.44,13.01,8.68,30.0,B3
Congo (Republic of),8.92,16.35,12.02,28.0,Caa2
Cook Islands,4.46,10.34,6.01,29.74,B1
Costa Rica,3.56,9.13,4.8,30.0,Ba3
Croatia,1.19,5.93,1.6,18.0,A3
Cuba,11.88,20.35,16.02,28.53,Ca
Curaçao,2.18,7.26,2.93,22.0,Baa3
Cyprus,1.19,5.93,1.6,12.5,A3
Czech Republic,0.59,5.13,0.8,19.0,Aa3
Denmark,0.0,4.33,0.0,22.0,Aaa
Dominican Republic,3.56,9.13,4.8,27.0,Ba3
Ecuador,9.91,17.68,13.35,25.0,Caa3
Egypt,7.43,14.34,10.01,22.5,Caa1
El Salvador,6.44,13.01,8.68,30.0,B3
Estonia,0.7,5.27,0.94,20.0,A1
Ethiopia,8.92,16.35,12.02,30.0,Caa2
Falkland Islands,3.58,9.15,4.82,31.55,NR
Fiji,4.46,10.34,6.01,20.0,B1
