Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,37140449745.11719,287328000.0,2024,2024-10-31,1289000000.0,6510000000.0,5898000000.0,11846000000.0,3390000000.0,4.44,129.26150512695312,0.21854866056290267,0.10881310146885025,0.09127514672720621,29.11295160516962,0.956,431039100
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,29799298781.73828,292587008.0,2023,2023-10-31,1240000000.0,6833000000.0,5845000000.0,10763000000.0,2735000000.0,4.22,101.84764862060547,0.21214713430282292,0.11520951407600112,0.09178068316413113,24.134513891138738,0.911,461257500
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,40071006654.40869,296040992.0,2022,2022-10-31,1254000000.0,6848000000.0,5305000000.0,10532000000.0,2769000000.0,4.19,135.3562774658203,0.23638077285579642,0.11906570451955943,0.06910233186506057,32.30460082716475,1.065,427282800
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,46220818295.50391,302723008.0,2021,2021-10-31,1210000000.0,6319000000.0,5389000000.0,10705000000.0,2729000000.0,3.98,152.68353271484375,0.22453145295973279,0.11303129378794956,0.05904265871176628,38.362696662021044,0.776,407756900
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,3533549487505.7812,15250799616.0,2024,2024-09-30,93736000000.0,391035000000.0,56950000000.0,364980000000.0,106629000000.0,6.11,231.69601440429688,1.6459350307287095,0.25682503150857583,0.030176172819151876,37.92078795487674,0.99,14351427800
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2687487556342.3594,15634199552.0,2023,2023-09-30,96995000000.0,383285000000.0,62146000000.0,352583000000.0,111088000000.0,6.16,171.8979949951172,1.5607601454639075,0.27509834563776475,0.041335261157893335,27.905518668038503,0.95,14805886900
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2184352477162.9844,16070800384.0,2022,2022-09-30,99803000000.0,394328000000.0,50672000000.0,352755000000.0,132480000000.0,6.15,135.9205780029297,1.9695887275023682,0.2829244092925685,0.06064955238911979,22.10090699234629,0.91,22065504500
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2287625656299.3125,16530199552.0,2021,2021-09-30,,,,,,,138.39068603515625,,,,,0.865,22748143800
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,303411752261.4492,1767139968.0,2024,2024-12-31,4278000000.0,56334000000.0,3325000000.0,135161000000.0,67144000000.0,2.423443,171.69650268554688,1.2866165413533834,0.03165114197142667,0.22129663567593838,70.84817042758873,6.2,1398187700
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,263020950348.77344,1765539968.0,2023,2023-12-31,4863000000.0,54318000000.0,10360000000.0,134711000000.0,59385000000.0,2.753773,148.97479248046875,0.4694015444015444,0.036099501896652834,0.22578049361183494,54.09842876681149,5.92,1375884500
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,257285209060.0586,1768480000.0,2022,2022-12-31,11836000000.0,58054000000.0,17254000000.0,138805000000.0,63271000000.0,6.6901,145.4838104248047,0.6859858583516866,0.08527070350491697,0.2459177510870068,21.746133903051476,5.64,1623063800
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,206421252872.99414,1767879936.0,2021,2021-12-31,11542000000.0,56197000000.0,15408000000.0,146529000000.0,76684000000.0,6.527034,116.76203155517578,0.7490913811007269,0.07876939035958752,0.37149275538590865,17.888987793716993,5.2,1714584900
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,82101286602.86328,624771968.0,2024,2024-12-31,2648000000.0,11102000000.0,8412000000.0,20959000000.0,2294000000.0,4.19,131.41000366210938,0.3147883975273419,0.12634190562526837,0.027941096844151,31.362769370431828,,1134484200
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,86191727893.34863,640926016.0,2023,2023-12-31,4792000000.0,9917000000.0,8165000000.0,20645000000.0,2304000000.0,7.52,134.47999572753906,0.5868952847519902,0.2321143133930734,0.026731103509734816,17.882978155257856,,1545426800
